"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.303218780E-1,1.316052526E-1,3.828516230E-2,9.770194054E0,9.771155384E0
7.327288570E-1,1.435693651E-1,3.589234129E-2,9.786943436E0,9.788062231E0
7.351358360E-1,1.268195957E-1,4.785645381E-2,9.803693771E0,9.804630794E0
7.375428150E-1,1.196411327E-1,5.024927482E-2,9.786943436E0,9.787803676E0
7.399497940E-1,1.292124242E-1,4.546362907E-2,9.796515465E0,9.797473044E0
7.423568260E-1,1.292124242E-1,4.546362907E-2,9.813264847E0,9.814220792E0
7.447638050E-1,1.220339537E-1,5.982056633E-2,9.820742607E0,9.821682959E0
7.471707840E-1,1.268195957E-1,5.503492057E-2,9.839884758E0,9.840855862E0
7.495778150E-1,1.292124242E-1,5.503492057E-2,9.837491989E0,9.838494465E0
7.519847940E-1,1.316052526E-1,3.589234129E-2,9.823135376E0,9.824082492E0
7.543917740E-1,1.244267747E-1,2.871387079E-2,9.786943436E0,9.787776475E0
7.567987530E-1,1.220339537E-1,1.674975827E-2,9.767801285E0,9.768577930E0
7.592057320E-1,1.148554832E-1,2.153540403E-2,9.743872643E0,9.744573343E0
7.616127630E-1,1.220339537E-1,1.674975827E-2,9.731908798E0,9.732688308E0
7.640197420E-1,1.244267747E-1,3.828516230E-2,9.746265411E0,9.747134822E0
7.664267220E-1,1.220339537E-1,3.110669367E-2,9.779765129E0,9.780575949E0
7.688337010E-1,1.076770201E-1,3.828516230E-2,9.782157898E0,9.782825422E0
7.712406800E-1,1.148554832E-1,5.024927482E-2,9.767801285E0,9.768605771E0
7.736477110E-1,1.100698411E-1,5.742774159E-2,9.786943436E0,9.787730847E0
7.760546900E-1,1.052841991E-1,4.546362907E-2,9.803693771E0,9.804364501E0
7.784616690E-1,1.268195957E-1,3.589234129E-2,9.827920914E0,9.828804655E0
7.808687010E-1,1.268195957E-1,5.024927482E-2,9.842277527E0,9.843222801E0
7.832756800E-1,1.435693651E-1,4.546362907E-2,9.830313683E0,9.831467144E0
